id,0,1,2,3,4,5,6,7,8,9
862,863,13925,13927,13926,13928,920,9487,13934,49013,213121
8844,9354,13466,2023,256347,15139,10249,1771,331,7978,671
15602,13596,27472,11522,10393,2617,15143,25269,41579,2122,218931
31357,13969,9715,26479,25269,33644,801,63115,214216,19509,175541
11862,11846,8849,11215,47874,10879,19076,10385,333348,52856,8388
949,11524,9008,82,1538,11322,201088,8489,57537,11454,26198
11860,9576,12618,27453,10236,65012,22189,42217,11145,606,28145
45325,5764,9449,49922,8920,14113,134375,289239,21605,1649,24271
9091,238589,11370,8831,11851,12633,31597,10077,15698,9946,174162
710,36557,44912,11678,9342,1656,41787,41952,10447,9839,12201
9087,12220,253235,8992,101731,639,17813,358895,2800,11031,7350
12110,10156,6524,10970,12535,957,8005,30197,24918,3034,11072
21032,50321,18890,2135,25913,9325,14873,19164,19165,31473,233423
10858,189215,461805,10523,31642,25783,9563,10132,6106,820,1852
1408,188207,9350,10477,17134,1573,270774,9954,103960,8914,11412
524,769,48714,203,1578,53198,103,9746,11051,11873,8649
4584,142,68924,293767,10451,22267,9261,4588,1927,30091,25296
5,32325,142132,185564,102933,37497,198214,58985,47866,31306,78320
9273,11891,14962,11676,9907,22792,62143,37193,340961,52661,26743
11517,21955,31086,31863,7442,10278,9272,199591,199591,433356,10145
8012,2185,2758,9024,9530,2907,322240,41154,607,608,8487
1710,292396,1049,30431,1844,120637,41927,9414,9341,10531,884
9691,2207,944,942,9359,941,943,1924,9562,8834,794
12665,13689,8922,11351,86759,257093,85564,25756,37302,86820,27864
451,2625,15059,49805,12616,125520,36234,25497,11060,47232,12767
16420,18820,24137,49767,23488,332721,9026,58233,10549,11790,11971
9263,32144,32911,38223,8359,41890,100783,20551,51268,388256,52856
17015,59210,413998,83036,310442,38357,13771,509,9391,209350,87504
902,47860,892,2841,8078,27936,157841,194,35831,56715,87061
37557,41821,10404,42006,259943,36210,14226,31439,12276,38143,45861
9909,32119,37272,125874,21801,25666,17381,353500,195542,60270,217576
63,68,11559,4543,157834,762,36819,8054,177,1878,11834
78802,62204,77221,77221,77221,77221,309302,853,10792,978,2383
9598,13967,11395,71864,24795,47168,10437,253533,2280,41118,62764
47018,34036,47199,33367,7093,43349,1993,82311,377263,392271,81409
687,32274,10608,322,71881,25598,64566,139329,27526,278,11934
139405,45929,15089,76323,298582,31948,81409,10714,47951,24767,15927
33689,11529,406992,8488,1968,9454,8676,27573,1439,19754,56195
9603,15019,73935,9494,13342,9356,10642,11418,16806,63115,214216
34615,52855,6934,75033,35936,60119,65137,8842,170934,49471,12618
31174,36464,286521,36730,26820,9754,73116,53185,52083,11823,45371
11443,9516,20504,24587,768,12528,29142,6968,228736,52633,2142
35196,17187,62327,36811,239571,25562,31083,80919,7300,10210,29907
9312,9425,10483,71679,173897,52451,35791,1576,395,45549,76649
577,273085,476,34444,489,711,1665,383,133694,291351,468
11861,66588,14904,298382,38922,9587,10449,2625,47724,10641,15677
807,1949,65754,4547,210577,550,2649,4922,37799,8077,2043
10530,245003,10948,37135,21250,9837,13761,15370,20722,15213,3170
8391,10399,334538,8359,36105,17595,468343,102024,60002,210408,99885
629,9445,77064,2253,246655,81005,36658,36657,1452,127585,11975
117164,91548,29801,30996,66623,26554,87302,57483,8963,9884,48129
11448,8288,10739,11302,11624,11030,12762,418772,11561,512,10462
49133,42420,47714,60067,85547,58098,24189,209413,333884,14375,117730
26441,58669,27281,332,16314,11212,14361,16790,11839,6589,27353
97406,118872,30943,52744,23397,91607,32077,19855,23333,41240,10613
124057,19568,137984,182843,14794,52036,48843,76264,2082,191094,253344
9089,50780,11521,303858,32331,11308,16857,72113,9058,46889,25562
11010,11162,268171,9314,60041,2923,23941,13195,63115,214216,19509
99040,22618,38987,139445,307087,27061,58258,70177,11020,1644,1018
11359,11899,11353,10276,10806,10141,10407,2196,10776,11371,9890
17182,5122,3116,45938,118098,24134,3469,33765,139244,10518,26578
2054,12508,426670,331588,11674,10414,9713,15413,40080,16931,15671
10607,12153,9072,4248,12538,139038,184345,351819,5516,36807,125099
19760,6382,71204,37517,45017,152206,26255,2642,46112,20457,18240
9536,25723,38937,27202,7547,128862,23964,19326,9032,10406,9767
11525,445126,37434,401687,42073,66628,360799,11867,1705,1688,1687
40628,341174,10543,9504,38702,13715,26827,6346,25501,7183,10743
4482,237799,15460,48524,63172,54544,53179,13732,383869,19597,77462
10634,4551,8409,9654,277216,22803,337339,9400,9631,54735,19848
755,1992,187,8068,9367,106747,189,1428,23631,9276,9488
11859,31922,37710,73454,55884,276935,36109,10170,8198,30624,35545
28387,27583,10707,13998,121986,44389,252512,53765,309245,396398,355254
48750,38198,37335,76348,53456,42726,14949,76350,139851,99313,76329
20927,16071,15143,26333,39140,100196,17595,468343,102024,60002,210408
36929,10486,12278,11415,23438,15616,9725,9728,11675,13503,13613
9102,24331,33305,17919,398924,11944,14643,334304,18355,11398,12629
124626,149145,206822,42981,24257,85778,52059,117036,203829,168283,49645
27526,25598,5955,5915,1717,38363,2649,13633,6075,38295,26578
9623,15765,26803,1618,11133,138697,302401,8270,28520,285783,33932
46785,83552,320006,40882,40427,13898,13209,13209,13209,13209,160171
400,14325,11329,9437,12103,204082,4965,9700,46027,14786,524
880,38904,96529,52654,4592,25110,280477,216652,134662,117340,47034
146599,361671,291861,125582,66770,193177,228205,257574,254725,156529,73799
188588,188589,41811,214447,144231,214446,142052,161795,108322,120694,53898
8447,47724,125958,39327,31040,44546,43619,10497,81949,12618,271674
10534,4421,98,12113,20662,1492,4105,855,147441,19067,4982
17414,36536,232572,2959,78698,17894,9779,21185,17956,10184,63334
13997,180363,12538,11041,77585,64972,8872,26574,103601,44848,70207
2086,10498,45928,96382,14040,31695,95578,6341,11009,42243,4954
61548,21828,35796,32767,44857,19958,18804,12519,105676,46338,32577
9095,859,31067,27857,48834,1165,59517,196355,205220,22215,271736
12158,12521,10012,377,26149,18477,12262,13122,4233,4234,11503
9283,26797,10872,38868,6522,25925,4133,21132,25010,25128,11191
9208,38185,2019,13514,39083,12289,10835,9620,955,18305,39084
40154,11790,11971,10549,11498,51333,19103,37028,4520,3036,10705
406,34068,47507,76609,60670,4970,9381,288587,48580,116231,300839
45549,35791,10483,9425,395,71679,173897,1576,52451,9312,76649
63076,42107,63427,117034,37088,97044,30586,63054,13907,289575,66638
11062,12150,2246,94440,10627,30069,8838,33831,11456,75808,49511
13685,11545,9428,120467,4538,83666,428074,421,6418,10315,12183
47475,50220,12139,48313,103014,11008,16560,11884,24086,10806,33657
2045,25284,10866,10220,31583,10427,8141,13922,11099,8836,8338
9614,38365,71880,109418,9032,3563,10661,11077,32450,9957,50546
688,70,13223,10747,15393,40374,8879,10354,21866,33,11901
11907,377852,2049,6461,252407,10146,8556,42293,29507,26531,21334
10874,10437,13905,8446,417320,10054,13671,34662,21724,46159,55567
89333,42981,24257,85778,52059,117036,203829,168283,49645,83593,18603
96357,24645,309889,2604,74447,332936,321662,261005,13137,159012,327924
197,324786,10502,615,1579,2024,2669,11646,10590,10264,43279
103,48714,203,421510,53198,106646,5804,524,769,1598,1578
33542,11134,9404,383785,34856,9438,38955,11653,25074,8697,11563
43566,38718,9458,11892,46978,63327,9605,22521,6071,54194,10937
71754,76857,362026,43711,209091,11257,45609,8293,28730,15624,45269
43612,2029,4271,40225,20072,6444,78285,25739,4484,11684,63229
51352,51927,10549,11790,11971,3036,10705,4520,19103,137094,37028
16934,72094,50008,53033,13685,9277,2322,5971,21256,31776,55372
10324,96238,97805,263105,37567,83738,17402,32872,298583,31460,12518
78406,8326,1965,9884,4643,8845,4288,20721,9395,12123,31606
55731,41586,18885,14806,26156,17130,32834,29694,39227,15213,37244
32119,37272,9909,125874,21801,25666,195542,60270,217576,333386,27805
11066,12771,16888,16094,20759,9085,9602,45147,9327,12107,39450
11104,843,18329,145059,844,1989,40751,11220,44865,18311,24163
37975,11216,10867,45799,152742,10886,25846,315880,10376,19223,16729
2074,1599,82693,17600,316002,274479,45317,6415,168672,41932,42401
27793,1370,12251,3513,104696,90272,113194,116350,223243,63775,67654
44284,265793,124619,124676,102406,46798,94214,30910,69850,207625,23985
290157,25366,862,8844,15602,31357,11862,949,11860,45325,9091
110972,16270,28031,14940,74643,6068,39450,57046,84465,242551,120637
32622,4475,32625,312669,17113,10000,148077,49218,305594,87081,333953
73067,40373,82942,167738,59390,131172,18944,88818,20556,31439,81949
11863,38985,1051,9846,10632,121052,27958,12526,99749,32043,34377
55475,63115,214216,19509,31357,9603,9089,11010,9283,16388,68274
124636,19459,102039,72186,38601,105287,288430,98064,98069,210274,339327
9101,9942,11067,10804,18133,25297,144785,13442,126227,54796,48675
123360,124101,288094,135787,128042,148503,149145,42981,24257,85778,52059
5757,9447,125099,32830,288117,83215,163795,185057,209686,127391,253578
39428,29785,41799,49956,277713,368942,25520,51994,44375,64320,285844
124639,862,8844,15602,31357,11862,949,11860,45325,9091,710
9302,19855,1633,9407,13389,3489,31010,547,87496,16619,293
11000,9440,22414,3525,13818,19382,70259,6538,10395,37247,396
249882,28553,99479,73351,118872,68752,155459,402423,28,3133,10673
16388,20065,31016,34167,43938,11363,14963,72766,93350,127916,26225
9737,8961,9802,134374,95,1635,300671,335988,38356,1858,8373
30765,11967,10081,11231,154276,9054,64945,22627,58936,14877,86543
10474,13201,640,48798,88794,524,400,259209,9344,278,2246
22279,26561,712,12596,11820,6639,121674,74340,40913,47158,39176
30157,37291,37410,94666,38545,47802,46986,23522,24200,283536,106134
568,11499,453,96721,207932,12280,13698,44564,591,13448,19731
11780,8588,8092,32261,4824,13536,11821,12651,3093,139777,173499
34996,13553,21612,49299,64942,197696,49110,21430,22171,25690,9558
414,415,40720,3132,8224,37094,10629,27679,3594,70578,10731
649,42502,35838,626,4497,35124,44655,35030,114354,5781,43344
1873,2575,31681,10669,77333,26039,16885,32054,10097,48864,11586
5894,18848,42848,10021,12778,9024,42580,10779,17971,46830,215579
1775,1774,1777,13516,22074,352208,421851,2359,1779,1430,18913
8839,11774,2357,795,31005,18162,313371,888,3587,16084,16249
20649,96451,1429,61752,31715,388,41823,1713,30599,210041,34152
10329,7305,9036,6488,13811,63154,9620,21836,14235,80520,2362
8963,44048,9798,9319,9509,7551,18487,319,1535,9923,14249
26564,87065,1548,9786,10147,343304,42981,24257,85778,52059,117036
8068,1428,9367,106747,187,189,755,9488,1992,23631,10054
8512,11560,2116,53113,164184,21128,9481,43743,71481,37233,54850
1572,562,10782,1669,11535,9096,1911,106,26725,913,9593
13552,33560,1811,200998,35122,13168,11171,157825,46837,45186,10589
259209,119324,49622,180951,330711,11248,124902,332356,26911,84352,524
6520,9896,8764,251,10786,43832,4460,23102,56188,26175,36841
9073,10173,11357,13153,11237,9415,42194,54527,308063,18519,1634
10428,347754,12635,45609,9913,167,2309,16411,51209,9679,49814
17447,63115,214216,19509,31357,9603,9089,11010,9283,55475,16388
